bio_label	feature_name	feature_mean
Promoter	(05) H3K27ac	2.137204729340017
Promoter	(02) H3K27me3	0.531162900783833
Enhancer	(03) H3K36me3	0.7126871787748736
Enhancer	(08) 5' flanking (1-1000 bp)	1.0862952547862896
Enhancer	(09) initial exon	0.6392593355607574
Enhancer	(12) internal introns	0.2449123484593509
Enhancer	(13) terminal exon	0.7339188222548739
Enhancer	(01) H3K9me3	0.28300807143527873
Enhancer	(11) internal exons	0.3307279862020156
Enhancer	(04) H3K4me3	0.8002302091325552
Enhancer	(10) initial intron	1.1029203109427386
Enhancer	(07) 5' flanking (1000-10000 bp)	0.6330217866295383
Enhancer	(06) H3K4me1	2.517286287776828
Enhancer	(15) 3' flanking (1-1000 bp)	0.728053087639398
Enhancer	(16) 3' flanking (1000-10000 bp)	0.6376524790241104
Enhancer	(14) terminal intron	0.6692961756764931
Enhancer	(05) H3K27ac	2.767516110539032
Enhancer	(02) H3K27me3	0.3341488701792166
